event_name,event_token,step_name,is_compulsory,step_num,union_step
install,,安装,1,1,01_安装
analstart,nhx1ze,开始解析,1,2,02_开始解析
ad_update,m9rdpq,热更开始,1,3,03_热更开始
ad_update100,uz70m2,热更结束,1,4,04_热更结束
analyzesucc,lx9qam,解析成功,1,5,05_解析成功
analyzefailed,pvbref,解析失败,,,
resource_start,qhemla,资源下载开始,1,6,06_资源下载开始
resource_failed,127ypy,资源下载失败,,,
ad_loading,f0p6fj,资源下载完成,1,7,07_资源下载完成
start_load_assemble,8zvek4,下载完成后,1,8,08_下载完成后
notice_start,glj0rr,公告开始,,,
notice_end,lrjk8p,公告结束,,,
enter_login,5g4ljl,进入登录,1,9,09_进入登录
sdk_login,rboohv,SDK登陆,1,10,10_SDK登陆
login_web,npvww7,登陆web服务器,1,11,11_登陆web服务器
create_connect,h0q6ov,创建游戏链接,1,12,12_创建游戏链接
connect_failed,kdv2v1,连接失败,,,
