act_id,act_sid,act_type,act_name
102001,102001001,六日新手任务,登录1天
102001,102001002,六日新手任务,提升等级到10级
102001,102001003,六日新手任务,通关主线-关卡5
102001,102001004,六日新手任务,完成5次技能升级
102001,102001005,六日新手任务,挑战5次普通关卡
102001,102001006,六日新手任务,挑战1次精英关卡
102001,102001007,六日新手任务,合成3次宝石
102001,102001008,六日新手任务,镶嵌5颗宝石
102001,102001009,六日新手任务,枪械科技升级3次
102001,102001010,六日新手任务,升级装备5次
102001,102001011,六日新手任务,获得20颗白色品质以上宝石
102001,102001012,六日新手任务,登录2天
102001,102001013,六日新手任务,提升等级到12级
102001,102001014,六日新手任务,通关主线-关卡10
102001,102001015,六日新手任务,完成10次技能升级
102001,102001016,六日新手任务,挑战10次普通关卡
102001,102001017,六日新手任务,挑战5次精英关卡
102001,102001018,六日新手任务,合成10次宝石
102001,102001019,六日新手任务,镶嵌10颗宝石
102001,102001020,六日新手任务,枪械科技升级5次
102001,102001021,六日新手任务,升级装备10次
102001,102001022,六日新手任务,获得40颗白色品质以上宝石
102001,102001023,六日新手任务,登录3天
102001,102001024,六日新手任务,提升等级到14级
102001,102001025,六日新手任务,通关主线-关卡15
102001,102001026,六日新手任务,完成15次技能升级
102001,102001027,六日新手任务,挑战20次普通关卡
102001,102001028,六日新手任务,挑战10次精英关卡
102001,102001029,六日新手任务,合成20次宝石
102001,102001030,六日新手任务,镶嵌15颗宝石
102001,102001031,六日新手任务,枪械科技升级10次
102001,102001032,六日新手任务,升级装备20次
102001,102001033,六日新手任务,获得60颗白色品质以上宝石
102001,102001034,六日新手任务,登录4天
102001,102001035,六日新手任务,提升等级到16级
102001,102001036,六日新手任务,通关主线-关卡20
102001,102001037,六日新手任务,完成20次技能升级
102001,102001038,六日新手任务,挑战30次普通关卡
102001,102001039,六日新手任务,挑战15次精英关卡
102001,102001040,六日新手任务,合成30次宝石
102001,102001041,六日新手任务,镶嵌20颗宝石
102001,102001042,六日新手任务,枪械科技升级15次
102001,102001043,六日新手任务,升级装备40次
102001,102001044,六日新手任务,获得10颗绿色品质以上宝石
102001,102001045,六日新手任务,登录5天
102001,102001046,六日新手任务,提升等级到18级
102001,102001047,六日新手任务,通关主线-关卡25
102001,102001048,六日新手任务,完成25次技能升级
102001,102001049,六日新手任务,挑战40次普通关卡
102001,102001050,六日新手任务,挑战20次精英关卡
102001,102001051,六日新手任务,合成40次宝石
102001,102001052,六日新手任务,镶嵌25颗宝石
102001,102001053,六日新手任务,枪械科技升级20次
102001,102001054,六日新手任务,升级装备60次
102001,102001055,六日新手任务,获得20颗绿色品质以上宝石
102001,102001056,六日新手任务,登录6天
102001,102001057,六日新手任务,提升等级到20级
102001,102001058,六日新手任务,通关主线-关卡30
102001,102001059,六日新手任务,完成30次技能升级
102001,102001060,六日新手任务,挑战50次普通关卡
102001,102001061,六日新手任务,挑战25次精英关卡
102001,102001062,六日新手任务,合成50次宝石
102001,102001063,六日新手任务,镶嵌30颗宝石
102001,102001064,六日新手任务,枪械科技升级25次
102001,102001065,六日新手任务,升级装备80次
102001,102001066,六日新手任务,获得10颗蓝色品质以上宝石
103001,,转盘抽奖,
